"","ENSEMBLE_ID","symbol","id_symbol"
"11069","ENSG00000163631","ALB","ENSG00000163631;ALB"
"17851","ENSG00000198804","MT-CO1","ENSG00000198804;MT-CO1"
"17336","ENSG00000197249","SERPINA1","ENSG00000197249;SERPINA1"
"17900","ENSG00000198886","MT-ND4","ENSG00000198886;MT-ND4"
"21399","ENSG00000210082","MT-RNR2","ENSG00000210082;MT-RNR2"
"17810","ENSG00000198727","MT-CYB","ENSG00000198727;MT-CYB"
"5692","ENSG00000125730","C3","ENSG00000125730;C3"
"1634","ENSG00000084674","APOB","ENSG00000084674;APOB"
"17802","ENSG00000198712","MT-CO2","ENSG00000198712;MT-CO2"
"17831","ENSG00000198763","MT-ND2","ENSG00000198763;MT-ND2"
"13079","ENSG00000171560","FGA","ENSG00000171560;FGA"
"10537","ENSG00000160868","CYP3A4","ENSG00000160868;CYP3A4"
"17932","ENSG00000198938","MT-CO3","ENSG00000198938;MT-CO3"
"13081","ENSG00000171564","FGB","ENSG00000171564;FGB"
"17839","ENSG00000198786","MT-ND5","ENSG00000198786;MT-ND5"
"3762","ENSG00000110245","APOC3","ENSG00000110245;APOC3"
"7355","ENSG00000136872","ALDOB","ENSG00000136872;ALDOB"
"4421","ENSG00000115414","FN1","ENSG00000115414;FN1"
"17902","ENSG00000198888","MT-ND1","ENSG00000198888;MT-ND1"
"17908","ENSG00000198899","MT-ATP6","ENSG00000198899;MT-ATP6"
"3275","ENSG00000106258","CYP3A5","ENSG00000106258;CYP3A5"
"4428","ENSG00000115457","IGFBP2","ENSG00000115457;IGFBP2"
"13078","ENSG00000171557","FGG","ENSG00000171557;FGG"
"1930","ENSG00000091513","TF","ENSG00000091513;TF"
"17145","ENSG00000196616","ADH1B","ENSG00000196616;ADH1B"
"28608","ENSG00000229314","ORM1","ENSG00000229314;ORM1"
"1719","ENSG00000087086","FTL","ENSG00000087086;FTL"
"6222","ENSG00000130203","APOE","ENSG00000130203;APOE"
"1934","ENSG00000091583","APOH","ENSG00000091583;APOH"
"4792","ENSG00000118271","TTR","ENSG00000118271;TTR"
"9987","ENSG00000156508","EEF1A1","ENSG00000156508;EEF1A1"
"62635","ENSG00000291237","SOD2","ENSG00000291237;SOD2"
"5106","ENSG00000120885","CLU","ENSG00000120885;CLU"
"7606","ENSG00000138109","CYP2C9","ENSG00000138109;CYP2C9"
"15201","ENSG00000182326","C1S","ENSG00000182326;C1S"
"3373","ENSG00000106927","AMBP","ENSG00000106927;AMBP"
"13962","ENSG00000175899","A2M","ENSG00000175899;A2M"
"12642","ENSG00000169710","FASN","ENSG00000169710;FASN"
"8675","ENSG00000145321","GC","ENSG00000145321;GC"
"2077","ENSG00000099194","SCD","ENSG00000099194;SCD"
"21435","ENSG00000211459","MT-RNR1","ENSG00000211459;MT-RNR1"
"4775","ENSG00000118137","APOA1","ENSG00000118137;APOA1"
"7973","ENSG00000140505","CYP1A2","ENSG00000140505;CYP1A2"
"9368","ENSG00000151224","MAT1A","ENSG00000151224;MAT1A"
"12147","ENSG00000167658","EEF2","ENSG00000167658;EEF2"
"17796","ENSG00000198695","MT-ND6","ENSG00000198695;MT-ND6"
"9163","ENSG00000149131","SERPING1","ENSG00000149131;SERPING1"
"13499","ENSG00000173432","SAA1","ENSG00000173432;SAA1"
"5602","ENSG00000124942","AHNAK","ENSG00000124942;AHNAK"
"4736","ENSG00000117601","SERPINC1","ENSG00000117601;SERPINC1"
"11510","ENSG00000165092","ALDH1A1","ENSG00000165092;ALDH1A1"
"10535","ENSG00000160862","AZGP1","ENSG00000160862;AZGP1"
"7360","ENSG00000136881","BAAT","ENSG00000136881;BAAT"
"17385","ENSG00000197408","CYP2B6","ENSG00000197408;CYP2B6"
"16385","ENSG00000187134","AKR1C1","ENSG00000187134;AKR1C1"
"6224","ENSG00000130208","APOC1","ENSG00000130208;APOC1"
"17873","ENSG00000198840","MT-ND3","ENSG00000198840;MT-ND3"
"10691","ENSG00000162267","ITIH3","ENSG00000162267;ITIH3"
"3752","ENSG00000110169","HPX","ENSG00000110169;HPX"
"11416","ENSG00000164733","CTSB","ENSG00000164733;CTSB"
"16236","ENSG00000186480","INSIG1","ENSG00000186480;INSIG1"
"13119","ENSG00000171759","PAH","ENSG00000171759;PAH"
"5241","ENSG00000122194","PLG","ENSG00000122194;PLG"
"8633","ENSG00000144908","ALDH1L1","ENSG00000144908;ALDH1L1"
"13308","ENSG00000172482","AGXT","ENSG00000172482;AGXT"
"2941","ENSG00000104635","SLC39A14","ENSG00000104635;SLC39A14"
"1316","ENSG00000075624","ACTB","ENSG00000075624;ACTB"
"37293","ENSG00000245532","NEAT1","ENSG00000245532;NEAT1"
"413","ENSG00000021826","CPS1","ENSG00000021826;CPS1"
"7136","ENSG00000135744","AGT","ENSG00000135744;AGT"
"8478","ENSG00000143878","RHOB","ENSG00000143878;RHOB"
"22057","ENSG00000212907","MT-ND4L","ENSG00000212907;MT-ND4L"
"17879","ENSG00000198848","CES1","ENSG00000198848;CES1"
"10342","ENSG00000159403","C1R","ENSG00000159403;C1R"
"6637","ENSG00000132693","CRP","ENSG00000132693;CRP"
"10455","ENSG00000160282","FTCD","ENSG00000160282;FTCD"
"7852","ENSG00000139644","TMBIM6","ENSG00000139644;TMBIM6"
"7642","ENSG00000138356","AOX1","ENSG00000138356;AOX1"
"218","ENSG00000008394","MGST1","ENSG00000008394;MGST1"
"2273","ENSG00000100345","MYH9","ENSG00000100345;MYH9"
"12804","ENSG00000170421","KRT8","ENSG00000170421;KRT8"
"435","ENSG00000023839","ABCC2","ENSG00000023839;ABCC2"
"4124","ENSG00000112972","HMGCS1","ENSG00000112972;HMGCS1"
"6190","ENSG00000129988","LBP","ENSG00000129988;LBP"
"622","ENSG00000047457","CP","ENSG00000047457;CP"
"9341","ENSG00000150991","UBC","ENSG00000150991;UBC"
"5963","ENSG00000127948","POR","ENSG00000127948;POR"
"12234","ENSG00000167978","SRRM2","ENSG00000167978;SRRM2"
"16000","ENSG00000185624","P4HB","ENSG00000185624;P4HB"
"15550","ENSG00000183747","ACSM2A","ENSG00000183747;ACSM2A"
"3725","ENSG00000109971","HSPA8","ENSG00000109971;HSPA8"
"12689","ENSG00000169903","TM4SF4","ENSG00000169903;TM4SF4"
"1829","ENSG00000089220","PEBP1","ENSG00000089220;PEBP1"
"17491","ENSG00000197746","PSAP","ENSG00000197746;PSAP"
"2553","ENSG00000101577","LPIN2","ENSG00000101577;LPIN2"
"9429","ENSG00000151655","ITIH2","ENSG00000151655;ITIH2"
"4559","ENSG00000116285","ERRFI1","ENSG00000116285;ERRFI1"
"5375","ENSG00000123384","LRP1","ENSG00000123384;LRP1"
"987","ENSG00000066813","ACSM2B","ENSG00000066813;ACSM2B"
"11936","ENSG00000166825","ANPEP","ENSG00000166825;ANPEP"
"6852","ENSG00000134240","HMGCS2","ENSG00000134240;HMGCS2"
"9443","ENSG00000151726","ACSL1","ENSG00000151726;ACSL1"
"1510","ENSG00000080824","HSP90AA1","ENSG00000080824;HSP90AA1"
"16250","ENSG00000186529","CYP4F3","ENSG00000186529;CYP4F3"
"1276","ENSG00000074800","ENO1","ENSG00000074800;ENO1"
"1243","ENSG00000073849","ST6GAL1","ENSG00000073849;ST6GAL1"
"8466","ENSG00000143819","EPHX1","ENSG00000143819;EPHX1"
"1203","ENSG00000072778","ACADVL","ENSG00000072778;ACADVL"
"6051","ENSG00000128641","MYO1B","ENSG00000128641;MYO1B"
"10170","ENSG00000158104","HPD","ENSG00000158104;HPD"
"4403","ENSG00000115306","SPTBN1","ENSG00000115306;SPTBN1"
"4338","ENSG00000114867","EIF4G1","ENSG00000114867;EIF4G1"
"4533","ENSG00000116133","DHCR24","ENSG00000116133;DHCR24"
"1614","ENSG00000083857","FAT1","ENSG00000083857;FAT1"
"1822","ENSG00000089157","RPLP0","ENSG00000089157;RPLP0"
"15289","ENSG00000182704","TSKU","ENSG00000182704;TSKU"
"16660","ENSG00000188338","SLC38A3","ENSG00000188338;SLC38A3"
"243","ENSG00000009950","MLXIPL","ENSG00000009950;MLXIPL"
"13789","ENSG00000175003","SLC22A1","ENSG00000175003;SLC22A1"
"2433","ENSG00000101076","HNF4A","ENSG00000101076;HNF4A"
"9119","ENSG00000148702","HABP2","ENSG00000148702;HABP2"
"11820","ENSG00000166347","CYB5A","ENSG00000166347;CYB5A"
"12163","ENSG00000167711","SERPINF2","ENSG00000167711;SERPINF2"
"27920","ENSG00000228278","ORM2","ENSG00000228278;ORM2"
"2060","ENSG00000096384","HSP90AB1","ENSG00000096384;HSP90AB1"
"11908","ENSG00000166710","B2M","ENSG00000166710;B2M"
"15613","ENSG00000184009","ACTG1","ENSG00000184009;ACTG1"
"13121","ENSG00000171766","GATM","ENSG00000171766;GATM"
"6313","ENSG00000130707","ASS1","ENSG00000130707;ASS1"
"9466","ENSG00000151914","DST","ENSG00000151914;DST"
"14181","ENSG00000176974","SHMT1","ENSG00000176974;SHMT1"
"17815","ENSG00000198734","F5","ENSG00000198734;F5"
"10457","ENSG00000160285","LSS","ENSG00000160285;LSS"
"2261","ENSG00000100316","RPL3","ENSG00000100316;RPL3"
"6455","ENSG00000131482","G6PC1","ENSG00000131482;G6PC1"
"13679","ENSG00000174444","RPL4","ENSG00000174444;RPL4"
"3201","ENSG00000105835","NAMPT","ENSG00000105835;NAMPT"
"5611","ENSG00000125148","MT2A","ENSG00000125148;MT2A"
"656","ENSG00000049239","H6PD","ENSG00000049239;H6PD"
"3286","ENSG00000106327","TFR2","ENSG00000106327;TFR2"
"9452","ENSG00000151790","TDO2","ENSG00000151790;TDO2"
"997","ENSG00000067082","KLF6","ENSG00000067082;KLF6"
"757","ENSG00000055957","ITIH1","ENSG00000055957;ITIH1"
"4540","ENSG00000116171","SCP2","ENSG00000116171;SCP2"
"16365","ENSG00000187048","CYP4A11","ENSG00000187048;CYP4A11"
"5730","ENSG00000125844","RRBP1","ENSG00000125844;RRBP1"
"4040","ENSG00000112299","VNN1","ENSG00000112299;VNN1"
"5497","ENSG00000124253","PCK1","ENSG00000124253;PCK1"
"607","ENSG00000044574","HSPA5","ENSG00000044574;HSPA5"
"10562","ENSG00000161011","SQSTM1","ENSG00000161011;SQSTM1"
"8240","ENSG00000142541","RPL13A","ENSG00000142541;RPL13A"
