S1	S2	S5	S6	S7	S8	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
1327	1322	1105	2569	2696	1513	1597	1107	1681	1751	1709	1447	944	1324	3266	1193
0	0	0	2	0	2	0	0	1	0	0	0	1	0	8	1
545	607	478	1041	694	480	644	530	620	583	866	933	569	843	1509	587
414	482	351	778	786	529	443	429	689	684	544	544	190	411	820	293
73	49	42	117	116	83	73	53	79	118	84	93	34	65	108	55
163	190	123	295	188	131	152	126	258	200	154	183	61	98	403	90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
365	506	266	476	847	467	569	464	631	721	461	525	446	589	933	358
4650	5031	4139	9149	4772	2983	4561	3831	3880	4106	7469	7779	3949	5181	11522	4544
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	30	42	62	44	41	69	55	77	82	42	45	31	33	82	17
564	613	490	1087	867	665	623	579	996	859	740	698	356	442	1413	491
925	1093	835	1666	1265	894	1048	874	1360	1336	1143	1416	864	1100	1768	716
295	262	284	660	715	411	325	296	516	593	419	422	294	454	713	244
392	486	326	732	327	219	378	344	296	242	558	569	134	196	843	326
2	2	0	4	1	10	0	1	1	2	13	1	10	5	7	3
823	884	722	1526	1393	813	918	757	1295	1299	1232	1150	627	920	1950	765
23	17	37	50	33	14	33	15	11	14	39	39	16	21	63	34
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
452	526	367	768	632	432	517	417	626	570	524	530	416	653	761	331
0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
80	104	76	102	88	61	80	45	58	72	62	88	42	69	130	61
1820	2106	1575	3381	4877	3157	2021	1683	2681	2671	2007	2222	666	1024	3947	1458
4137	4852	3395	7023	5708	3635	4493	3366	4957	4809	4639	4893	3613	4568	8147	3136
13	3	17	10	18	7	12	3	13	27	6	20	9	1	17	5
38	33	39	66	36	41	46	33	12	15	40	40	9	4	44	19
1	0	4	1	4	0	0	0	0	0	0	1	6	0	2	1
8	12	21	11	2	7	14	5	11	15	15	4	3	4	24	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2634	3214	2287	4494	3823	2484	2892	2385	3537	3688	3396	3131	2088	2616	5026	2331
428	533	364	848	580	357	436	358	489	542	583	579	384	482	785	334
5709	5702	5228	10890	13623	8312	5581	4427	3779	3534	6292	6879	2787	3929	8988	3286
1076	1213	939	2034	1729	1153	1232	925	1647	1598	1428	1486	1282	1554	2055	875
329	345	280	555	284	177	410	301	287	339	416	366	99	146	823	282
3	0	0	4	0	0	8	1	0	2	2	5	0	2	7	4
17	16	9	34	44	43	18	10	31	35	20	19	6	9	44	10
5676	6684	4666	8865	3021	1934	5283	4229	1977	1857	5874	5635	2177	3129	12373	5246
2058	2212	1761	3928	2384	1674	2177	1600	2434	2351	2989	2885	1403	1860	4774	1767
433	445	370	756	565	408	544	393	1038	1172	548	571	170	279	933	333
3363	4055	3112	6704	4854	3170	4167	3350	5961	6589	4677	4931	2577	3750	8438	3072
123	155	95	229	255	169	183	215	472	491	199	157	273	361	331	135
475	489	366	871	769	464	456	383	559	596	612	691	363	513	1002	384
1520	1573	1253	2720	1948	1421	1524	1204	1945	2091	1614	1692	1265	1813	2888	1103
118	105	121	245	194	117	161	129	286	344	235	244	164	248	604	243
6396	7242	6260	13351	18077	11351	9820	8853	31065	38806	11743	11122	4154	6901	18113	6354
