"","group","lib.size","norm.factors","treatment","sample_name","replicate","group_color"
"S1","1",27896240,0.97845081413094,"Vehicle_control","AS0018_1",1,"#000000"
"S2","1",30739747,1.00283067151976,"Vehicle_control","AS0018_2",2,"#000000"
"S5","2",23818548,0.986549092873733,"01_ng_ml_IL_6","AS0018_5",1,"#A6CEE3"
"S6","2",50683601,0.987848653632292,"01_ng_ml_IL_6","AS0018_6",2,"#A6CEE3"
"S7","3",43922193,0.901661656075037,"10_ng_ml_IL_6","AS0018_7",1,"#1F78B4"
"S8","3",28465532,0.904679551408266,"10_ng_ml_IL_6","AS0018_8",2,"#1F78B4"
"S11","4",30377576,1.00100020706662,"01_ng_ml_IL_1B","AS0018_11",1,"#B2DF8A"
"S12","4",23544474,1.03974911975542,"01_ng_ml_IL_1B","AS0018_12",2,"#B2DF8A"
"S13","5",34591414,1.03312768364359,"10_ng_ml_IL_1B","AS0018_13",1,"#33A02C"
"S14","5",33800724,1.05963797437554,"10_ng_ml_IL_1B","AS0018_14",2,"#33A02C"
"S15","6",36924125,0.9942723711598,"Rif","AS0018_15",1,"#FB9A99"
"S16","6",37948920,0.991213992702235,"Rif","AS0018_16",2,"#FB9A99"
"S17","7",21645997,1.01791861759911,"Abe","AS0018_17",1,"#E31A1C"
"S18","7",29443716,1.06187610524628,"Abe","AS0018_18",2,"#E31A1C"
"S19","8",60296105,1.02357439892851,"Medium","AS0018_19",1,"#FDBF6F"
"S20","8",22795731,1.03188796076444,"Medium","AS0018_20",2,"#FDBF6F"
